Content_ID,Content_Type,Title,Hindi_Title,Theatrical_Release_Year,Hoichoi_Live_Date,Hoichoi_Ending_Date,Season_Number,Total_Episodes,Duration_Total_or_Per_Ep,Genre,Sub_Genre,Age_Rating,Age_Rating_Descriptors,Available_on_hoichoi,Link,Cast,Director,Writer,Production_House,Synopsis_Long,Synopsis_Short,Trailer_Link,Languages,Brand_Name,Literature_Adapted,Primary_Mood,Narrative_Tone,Ending_Type,Binge_Score,Family_Element_Score,AI_Generated_Keywords,Monetization_Model,Release_Type,Is_Bangladeshi,Recommended_Titles,Promotional_Rights
HOI001,Movie,Bhaggyolokkhi,N/A,2025,2026-04-10,2033-04-09,N/A,N/A,120 min,Thriller | Drama | Crime,Thriller | Drama | Crime,A 18+,"Violence, Alcohol, Smoking, Mature themes, Gore",Yes,N/A,"Ritwick Chakraborty, Solanki Roy, Loknath Dey, Sujan Mukherjee, Judhajit Sarkar, Swastika Dutta",Mainak Bhaumik,N/A,"Pradip Kumar Nandy, Nandy Movies","A married couple’s life spirals when they discover a dead body and a suitcase full of cash in their home. As they try to cover it up, they’re pulled into a dangerous web of corrupt cops, ruthless killers, and political power plays. Can they escape before it’s too late?","A couple finds a corpse and cash at home—triggering a deadly chase involving cops, killers, and power games.",,Bengali,N/A,No,Gritty,Suspenseful,Twist,8,3,"nan, crime, drama, thriller",SVOD,World Premiere,No,,N/A
HOI002,Movie,Bhuto Purbo,N/A,2025,2026-04-03,2033-04-02,N/A,N/A,141 min,Horror,Horror,U/A 16+,"Violence, Smoking, Alcohol, Frightening Scenes",Yes,N/A,"Satyam Bhattacharya, Amrita Chattopadhyay, Sandipta Sen, Suhotra Mukhopadhyay, Saptarshi Maulik, Biswajit Chakraborty, Rupanjana Mitra","Kakoli Ghosh, Avinab Mukherjee",N/A,Indoshree,"Set in the late 1960s, two strangers take refuge in Bibhutibhushan’s ancestral home on a stormy night, exchanging haunting tales of a woman’s spirit tied to her jewels, a conflicted mystic, and a conman’s twisted fate. As dawn breaks, a dark truth binds them forever.","On a stormy night, two strangers share eerie tales of greed, mysticism, and crime, bound by a chilling secret.",,Bengali,N/A,No,Dark,Scary,Cliffhanger,6,2,"horror, nan",SVOD,World Premiere,No,"Brombhodoityo, Flat No 609, Shob Bhooturey, Bhoy, Golpo Holeo Shotti",N/A
HOI003,Movie,Lawho Gouranger Naam Rey,N/A,2025,2026-03-13,TBD,N/A,N/A,129 min,Period Drama,Period Drama,U/A 16+,"Smoking, Alcohol, Mature themes, Suicide, Foul Language",Yes,N/A,"Dibyojyoti Dutta, Subhashree Ganguly, Jisshu Sengupta, Bratya Basu, Indraneil Sengupta, Ishaa Saha",Srijit Mukherji,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd. / DAG Creative Media","Across three timelines, a 15th-century mystic’s final days, a 19th-century actress portraying him on stage, and a modern filmmaker trying to tell his story—the legend of Chaitanya Mahaprabhu unfolds, blending faith, theatre, and history while exploring the mystery of his disappearance.","Across three eras, the mystery of Chaitanya Mahaprabhu unfolded through faith, theatre, and cinema.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, period drama, mystery",SVOD,World Premiere,No,,N/A
HOI004,Movie,Ranna Baati,N/A,2025,2026-01-01,2035-12-31,N/A,N/A,122 min,Drama,Drama,U/A 13+,"Smoking, Alcohol, Foul Language",Yes,N/A,"Ritwick Chakraborty, Sohini Sarkar, Solanki Roy, Barun Chanda, Anirban Chakrabarti, Ida Dasgupta",Pratim D. Gupta,N/A,"Pradip Kumar Nandy, Nandy Movies","After his wife’s death, Shantanu uncovers her handwritten recipes and embarks on a heartfelt journey to reconnect with his estranged daughter. With chef Rita’s guidance, the kitchen transforms into a space of laughter, healing, and newfound courage to embrace love and a fresh beginning.","A widowed father cooks his late wife’s recipes to reconnect with his daughter, discovering healing and hope.",,Bengali,N/A,No,Feel-good,Neutral,Tragic,5,5,"nan, drama",SVOD,World Premiere,No,"Mayurakshi, Barnali, Rupkotha noy, Troyee, Mauchaak",No limitation on promotional clips
HOI005,Movie,Saba,N/A,2024,2025-12-20,2050-12-18,N/A,N/A,95 min,Drama,Drama,U/A 13+,"Violence, Foul Language, Smoking, Alcohol",Yes,N/A,"Mehazabien Chowdhury, Rokeya Prachy, Mostafa Monwar",Maksud Hossain,N/A,"Verite Pictures, Framehound, Mogador Film","In Saba, a devoted daughter becomes sole caregiver to her ailing mother, forcing her to balance financial hardship, emotional burden, and personal dreams. As their opposing views on care and autonomy deepen, the once strong bond is tested, revealing love, guilt, and the cost of duty.",A devoted caregiver’s dreams collide with duty as end-of-life choices test a mother-daughter bond.,,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, drama",SVOD,World Premiere,No,"Onko Ki Kothin, Asha Jaoar Majhe, Ei Raat Tomar Amaar, Shontaan, Kolkatay Kohinoor",First year exclusive with hoichoi; thereafter non-exclusive
HOI006,Movie,Bismillah,N/A,2022,2025-11-28,2035-10-08,N/A,N/A,154 min,Drama | Musical,Drama | Musical,U/A 13+,"Mature themes, Smoking, Foul Language",Yes,N/A,"Riddhi Sen, Subhashree Ganguly, Kaushik Ganguly, Kharaj Mukherjee, Surangana Bandopadhyay",Indraadip Dasgupta,N/A,Kaleidoscope,"Born into a family of shehnai players, young Bismillah longs for the flute—a sound forbidden by tradition. As digital music reshapes rural Bengal, he battles faith, identity, and change, fighting to protect a fading heritage while discovering the music that truly defines him.","A shehnai heir battles modern music, tradition, and forbidden love as he fights to revive his fading musical legacy.",,Bengali,N/A,No,Drama,Neutral,Open,5,8,"musical, nan, drama",SVOD,World Premiere,No,,"Maximum 120 secs for clips; maximum 60 secs for music and music videos on a non-standalone, non commercial basis"
HOI007,Movie,Manobjomin,N/A,2023,2025-11-21,2030-09-21,N/A,N/A,130 min,Drama | Social,Drama | Social,U/A 13+,"Foul Language, Smoking",Yes,N/A,"Parambrata Chattopadhyay, Priyanka Sarkar, Srijit Mukherji, Kharaj Mukherjee, Paran Bandopadhyay",Srijato,N/A,DCM,"Kuhu runs Manobjomin, an NGO devoted to empowering underprivileged rural girls. Her partner, Sanket, is equally invested in its mission. When a severe financial crisis threatens the NGO’s survival, the two push their limits—personally and professionally—to keep Manobjomin alive.","Kuhu and Sanket fight a growing financial crisis to save Manobjomin, the NGO empowering underprivileged rural girls.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"nan, social, drama",SVOD,World Premiere,No,"Adalat O Ekti Meye, Bijoya, Bodhon, Chemistry Mashi, Kaberi",No limitation on promotional clips
HOI008,Movie,Putulnacher Itikatha,N/A,2025,2025-11-14,2035-10-08,N/A,N/A,123 min,Drama,Drama,U/A 13+,"Mature themes, Smoking, Alcohol, Foul Language",Yes,N/A,"Abir Chatterjee, Jaya Ahsan, Surangana Bandopadhyay, Dhritiman Chatterjee, Parambrata Chatterjee, Ananya Chatterjee",Suman Mukhopadhyay,N/A,Kaleidoscope,"Shashi, a Kolkata-trained doctor, feels stuck in his quiet village life and empty ancestral home. His flirtations and failures leave him restless, and when a city friend returns with a village wife, his unease deepens. Torn between faith and science, Shashi’s turmoil only grows.","Shashi, a doctor trained in Kolkata is mired in his obscure village practice, as he dreams of fulfilment back in the city.",,Bengali,N/A,Yes,Classic,Reflective,Open,5,5,"nan, drama",SVOD,World Premiere,No,"Kabuliwala, Kabuliwala, Sahaj Paather Gappo, Brahma Janen Gopon Kommoti, Rajlokhi O Srikanto","Maximum 120 secs for clips; maximum 60 secs for music and music videos on a non-standalone, non commercial basis"
HOI009,Movie,Grihapravesh,N/A,2025,2025-10-24,2035-10-08,N/A,N/A,155 min,Drama | Romantic,Drama | Romantic,U/A 13+,"Mature themes, Smoking, Alcohol, Foul Language",Yes,N/A,"Subhashree Ganguly, Kaushik Ganguly, Jeetu Kamal, Sohini Sengupta, Rudranil Ghosh, Sneha Chatterjee",Indraadip Dasgupta,N/A,Kaleidoscope,"In a fading North Calcutta Rajbari, Titli lives quietly after her husband’s disappearance. As Durga Puja nears, Megh arrives and stirs emotions she thought were lost. Amid rituals, memories, and silence, they face love, longing, and the ache of unfinished stories.","In an old North Calcutta house, Titli’s quiet life changes when Megh’s arrival stirs love, loss, and long-buried memories.",,Bengali,N/A,No,Romantic,Sentimental,Happy,7,7,"romantic, nan, drama",SVOD,World Premiere,No,,"Maximum 120 secs for clips; maximum 60 secs for music and music videos on a non-standalone, non commercial basis"
HOI010,Movie,Pokkhirajer Dim,N/A,2025,2025-08-29,2030-08-28,N/A,N/A,130 min,Fantasy | Adventure | Sci-Fi,Fantasy | Adventure | Sci-Fi,U,Suitable for all ages,Yes,N/A,"Anirban Bhattacharya, Mahabrata Basu, Anumegha Banerjee, Alexx O'Nell",Soukarya Ghosal,N/A,"Shrikant Mohta, Mahendra Soni and SVF Entertainment Pvt. Ltd. / Jio Studios","At Akashgunj High School, Ghoton, a determined student with special needs, finds an odd ally in Batabyal, his quirky maths teacher chasing a Nobel. When Ghoton stumbles upon a mysterious stone with strange powers, their lives spiral into chaos as dark forces close in.","At Akashgunj High, Ghoton and his quirky teacher find a strange stone that unleashes chaos and dark forces.",,Bengali,N/A,No,Drama,Neutral,Open,5,5,"sci-fi, adventure, nan, fantasy",SVOD,World Premiere,No,,"Maximum 120 secs for clips; maximum 60 secs for music and music videos on a non-standalone, non commercial basis"
