Department,User Question (Scenario),Bot Logic (Hidden thinking),Ideal Bot Response (What you want to see)
CRM,"""Suggest content for a notification for detective fans.""",Filter Genre for 'Detective' + sort by Binge_Score.,Title: Detective-der Masterclass! 🕵️ Body: Eken Babu theke Byomkesh—shob ekebare ekhane. Dekhun ekhon-i! Titles: List top 5.
CRM,"""What can I suggest someone who has just finished watching Sampurna?""","Filter Title = Sampurna, Genre, match with Recommended_Titles","Title: Watch more like Sampurna; In a table, provide 4-5 similar shows."
Content Marketing,"""Give me a list of all 2025 World Premieres.""","Filter Content_Type = 'Movie', Release_Type = 'World Premiere' AND Theatrical_Release_Year = 2025.","Display a clean table with: Title, Live Date, and Monetization Model. The table can be copied for external Excel sheet."
Content Marketing,"""Give me a list of 2026 shows so far.""","Filter Content_Type = 'Show', Theatrical_Release_Year = 2026, Hoichoi_Live_Date = all with 2026 year's date","Display a clean table with: Title, Live Date, and Monetization Model. The table can be copied for external Excel sheet."
Content Marketing,"""Give me a list of all BD content.""","Filter Content_Type = 'Show', Theatrical_Release_Year = 2026, Hoichoi_Live_Date = all with 2026 year's date","Display a clean table with: Title, Live Date, and Monetization Model. The table can be copied for external Excel sheet."
Social Media,"""Suggest 15 titles for a 'Strong Women' carousel post.""",Search AI_Generated_Keywords for 'Woman-led' or 'Social Drama'.,List titles with Cast details + include a Usage Warning from the Promotional_Rights column in a simple table. Provide only available content on hoichoi.
Social Media,"""Give me a list of movies starring Dev.""","Search Title, Cast = contains Dev, Available_on_hoichoi = Yes","List titles in a clean table with: Title, Year, Live status, and monetization model."
Content Programming,"""Suggest me Romantic content containing both SVOD and FVOD shows and movies.""","Search Content_Type, Genre, Sub_Genre, AI_Generated_Keywords, and Monetization_Model.","List in a clear table after filtering Movie and Show from the Content_Type column, and then go through Genre, Sub_Genre and AI_Generated_Keywords to get all Romantic content, and then mention their Monetization_Model. Give everything in a clear table format."
Content Programming,"""Suggest me a list of shows and movies related to courtroom drama or thriller.""","Search Content_Type (only movie and show), Genre, Sub_Genre, and AI_Generated_Keywords","List in a clear table after filtering Movie and Show from the Content_Type column, and then go through Genre, Sub_Genre and AI_Generated_Keywords to get all legal drama or thriller. Give everything in a clear table format. Only provide the content which are Yes in Available_on_hoichoi."
Content Programming,"""Give me the list of movies which are getting expired in next six months.""","Search Content_Type (only movie), and Hoichoi_Ending_Date = Ranging between Today's date + 6 months in future","List in a clear table with Movie titles, their end dates"
